Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512577525060	22.25	8217.44	2.69774	8217.44	2.50133	8217.31	2.65784	8217.48	2.36502	8217.1	2.49909	31.779
1512577526071	22.25	8216.33	2.44949	8215.88	2.02731	8216.15	2.19265	8216	2.04124	8216.11	2.52022	31.7768
1512577527142	22.24	8216.44	2.45515	8216.12	2.16641	8216.54	2.29548	8216	2.17945	8215.94	2.66768	31.7681
1512577528223	22.24	8216.78	2.99073	8215.44	2.70924	8216.54	2.56955	8215.76	2.50466	8215.81	2.76691	31.7746
1512577529249	22.24	8216.33	2.95804	8216.04	2.47454	8216.08	2.78273	8216.16	2.54427	8216.41	2.4224	31.7637
1512577530303	22.25	8218.44	2.74368	8217.72	2.47521	8218.15	2.51151	8218	2.38048	8217.53	2.7253	31.8419
1512577531428	22.26	8217.22	2.48886	8217.2	2.78388	8217.23	2.65059	8217.2	2.5	8217.47	2.7821	31.8071
1512577532470	22.26	8218.22	2.68225	8218.08	2.28983	8218.08	2.78273	8217.92	2.59679	8217.75	2.73343	31.8049
1512577533580	22.25	8217.22	2.33333	8217	2.08167	8217.08	2.17798	8217.08	2.19697	8216.84	2.50002	31.7985
1512577534629	22.25	8220.89	2.66667	8219.6	2.38048	8220.15	2.47811	8219.52	2.63186	8218.18	2.56175	31.818
1512577535637	22.24	8217.89	2.47207	8217.36	1.75309	8217.46	2.22169	8217.32	1.95192	8217.01	2.41415	31.8245
1512577536772	22.25	8218.56	2.55495	8218	2.76887	8218.46	2.50384	8218.08	2.75257	8217.35	2.5938	31.8506
1512577537836	22.25	8218.11	2.02759	8217.96	1.90351	8217.85	2.11527	8217.88	1.9	8218.15	2.42453	31.8463
1512577538936	22.24	8220.56	2.78887	8220.28	2.82135	8220.46	2.50384	8220.08	2.27156	8219.31	2.8186	31.916
1512577539962	22.24	8218.44	2.55495	8218.44	2.08327	8218.54	2.22169	8218.32	1.79629	8218.28	2.28547	31.8398
1512577541121	22.25	8216.22	2.58736	8216.52	2.16256	8216.46	2.47034	8216.32	2.13542	8216.7	2.33203	31.7529
1512577542128	22.24	8216.33	2.06155	8216.12	2.3331	8216.38	2.06311	8216.24	2.27816	8217.47	2.63592	31.7573
1512577543157	22.24	8217.33	2.23607	8216.56	2.46779	8217.08	2.13937	8216.84	2.52784	8216.98	2.90466	31.8028
1512577544178	22.24	8216.78	2.43812	8216.04	2.89367	8216.54	2.93301	8216.24	2.80297	8217.23	2.91235	31.7681
1512577545266	22.24	8218.67	2.34521	8217.64	2.58005	8218.38	2.56705	8217.8	2.72336	8217.49	2.78223	31.8767
1512577546273	22.24	8217.56	2.60342	8216.84	2.76405	8217.38	2.84425	8217	2.69258	8217.19	2.56913	31.8093
1512577547376	22.24	8217.67	2.39792	8216.84	2.2301	8217.46	2.22169	8217.12	2.04776	8216.63	2.25795	31.8158
1512577548396	22.26	8217.44	2.50555	8216.72	2.52521	8217.23	2.74329	8216.92	2.49867	8216.32	2.68491	31.8071
1512577549448	22.25	8216.67	2.06155	8216.36	1.95533	8216.62	2.14237	8216.6	1.95789	8216.51	2.25718	31.7529
1512577550474	22.25	8216.44	1.87824	8215.88	2.16641	8216	2.38048	8215.96	2.15019	8216.26	2.47227	31.7681
1512577551498	22.25	8216.78	1.98606	8216	2	8216.15	2.40992	8216	2.04124	8216.96	2.42563	31.7573
1512577552544	22.24	8217.89	1.83333	8217.8	2.17945	8218.08	1.84669	8218.08	2.17792	8217.55	2.39322	31.818
1512577553650	22.24	8218.56	2.24227	8218.12	2.47184	8218.62	2.32875	8218.44	2.36432	8218.11	2.45956	31.8506
1512577554796	22.24	8217.22	2.63523	8217.04	3.04795	8217.77	3.58594	8217.2	2.94392	8217.06	2.50547	31.7855
1512577555863	22.23	8216	2.12132	8215.72	2.03142	8216.38	2.25605	8215.92	2.08006	8216.09	2.65901	31.7529
1512577556945	22.24	8216.78	2.04803	8216.2	1.97906	8216.62	2.02231	8216.12	1.98578	8216.21	2.66565	31.7768
1512577557994	22.25	8215.11	1.76383	8215.4	1.87083	8214.92	1.97744	8215.08	1.86905	8215.68	2.72309	31.7204
1512577558998	22.24	8214.56	1.94365	8214.52	2.04369	8214.15	1.86396	8214.36	1.93391	8214.75	2.73487	31.6815
1512577560050	22.24	8216.11	2.57121	8216.2	2.38048	8216.38	2.36426	8216.36	2.44745	8215.63	2.60496	31.7551
1512577561071	22.24	8218	2.87228	8217.36	3.09408	8218	2.94392	8217.6	3.16228	8216.92	2.8013	31.8354
1512577562096	22.24	8216.33	2.87228	8216.12	2.65079	8216.23	2.71274	8216.16	2.62488	8216.08	2.77139	31.7529
1512577563122	22.25	8215.22	2.33333	8215.52	2.21961	8215.38	2.10311	8215.64	2.17715	8215.79	2.44066	31.7226
1512577564164	22.25	8214.89	2.31541	8215.04	1.96808	8214.92	2.10006	8215.2	2.08167	8215.83	2.41166	31.7074
1512577565288	22.25	8215.11	1.69148	8214.56	1.50222	8214.77	1.5359	8214.84	1.37477	8215.23	2.39629	31.7161
1512577566315	22.25	8216	2.12132	8215.6	1.73205	8215.69	1.97419	8215.68	1.70098	8216.61	2.35858	31.7659
1512577567478	22.25	8217	2.95804	8216.56	2.2745	8216.77	2.48843	8216.8	2.17945	8216.59	2.50504	31.7768
1512577568567	22.25	8217.22	2.58736	8217.12	2.84781	8217.23	2.68185	8217.4	2.85774	8218.26	3.37349	31.7985
1512577569604	22.25	8218.11	1.83333	8217.24	2.38537	8217.62	2.06311	8217.32	2.39305	8217.52	2.85244	31.8376
1512577570630	22.26	8217.89	2.66667	8216.44	2.66271	8217.31	2.3939	8216.84	2.52784	8217.02	3.10657	31.8289
1512577571706	22.26	8218.33	2.17945	8217.16	2.62488	8217.92	2.01914	8217.32	2.6096	8216.85	2.97441	31.8419
1512577572857	22.25	8216.22	2.99073	8215.88	2.14709	8216.15	2.44425	8216	2.17945	8216.23	2.63244	31.7594
1512577573948	22.25	8216.67	3.1225	8216.32	2.49533	8216.92	2.84199	8216.48	2.69444	8217.34	2.72854	31.7637
1512577574994	22.24	8216.56	2.29734	8216.56	2.10317	8216.69	2.05688	8216.48	2.12368	8216.98	2.72235	31.7746
1512577576032	22.25	8216.67	2.23607	8217.32	2.09603	8216.77	2.31495	8217.24	1.98494	8217.67	2.50045	31.7659
1512577577060	22.26	8219.67	3.08221	8219.16	2.4097	8219.77	2.68185	8219.36	2.46441	8219.32	2.46615	31.8614
1512577578139	22.25	8220.22	1.7873	8219.12	2.04776	8219.77	1.92154	8219.04	2.40624	8219.46	2.52475	31.9224
1512577579190	22.25	8220.22	2.33333	8218.8	2.69258	8219.69	2.68901	8218.72	2.66958	8218.85	2.77821	31.9377
1512577580236	22.25	8219.22	2.81859	8219.52	2.36502	8219.31	2.59437	8219.32	2.30434	8219.15	2.58394	31.8941
1512577581342	22.25	8219.78	1.98606	8219.44	2.34663	8220	2.34521	8219.32	2.24944	8218.81	2.8265	31.9093
1512577582418	22.25	8220.78	1.30171	8220.32	1.99416	8221.15	1.46322	8220.56	1.70978	8220.11	2.35351	31.9094
1512577583431	22.25	8220.33	2.12132	8219.56	1.98074	8220.38	1.85016	8219.76	2.10713	8219.83	2.42673	31.9246
1512577584523	22.24	8220.44	2.00693	8219.56	1.89473	8220.54	1.76141	8219.84	1.95107	8219.42	2.33743	31.9246
1512577585574	22.25	8221.44	1.424	8221.44	2.8	8221.69	2.05688	8221.64	2.30723	8221.04	3.38784	31.9094
1512577586597	22.23	8221.44	1.74005	8220.84	2.01412	8221.31	1.79743	8220.68	1.8421	8219.97	2.76493	31.964
1512577587632	22.24	8220.89	1.83333	8220.76	1.87705	8221.08	1.801	8220.72	1.96893	8219.63	2.77158	31.9356
1512577588737	22.24	8220.67	2.12132	8220.56	2.55082	8220.77	2.27866	8220.6	2.3094	8220.24	2.67613	31.9399
1512577589775	22.24	8221.11	2.47207	8220.6	2.27303	8221.23	2.35067	8220.8	2.17945	8220.21	2.29777	31.9465
1512577590801	22.24	8220.78	2.63523	8220.92	2.28983	8220.92	2.326	8220.8	2.14087	8220.38	2.60371	31.953
1512577591928	22.23	8220.22	2.33333	8219.92	1.93477	8220.15	1.95133	8219.84	1.95107	8219.91	2.31652	31.9029
1512577592935	22.22	8220.89	1.36423	8220.76	2.02649	8220.69	2.01596	8220.6	2	8220.75	2.57397	31.9226
1512577593980	22.22	8220	1.41421	8219.8	2.10159	8219.92	2.21591	8219.76	2.04695	8220.79	2.55737	31.8942
1512577595033	22.22	8222.22	2.27913	8220.96	2.44063	8222.08	2.28989	8221.36	2.65957	8220.65	2.60012	31.9858
1512577596077	22.23	8222.44	1.5899	8221.56	2.06317	8222.46	1.61325	8221.64	2.62805	8221.12	2.50937	32.0689
1512577597183	22.22	8223	2.73861	8222.44	2.2561	8223.08	2.46514	8222.72	2.26421	8222.18	2.25695	31.9881
1512577598208	22.23	8222.78	3.03223	8222.12	2.38607	8222.85	2.6409	8222.32	2.35797	8221.77	2.21262	32.0164
1512577599258	22.24	8223	2.34521	8222.24	2.24128	8222.77	2.16617	8222.32	2.21209	8221.76	2.20032	32.012
1512577600356	22.24	8221.22	2.04803	8221.2	2.23607	8221.15	2.1543	8221.12	2.06801	8220.77	2.40222	31.9487
1512577601414	22.23	8220.33	2	8220.08	2.03961	8220.23	2.12736	8219.96	2.18861	8220.04	2.31353	31.9138
1512577602425	22.24	8221	1.5	8220.12	2.00666	8220.62	1.55662	8220.08	1.97737	8220.25	2.27825	31.9073
1512577603451	22.24	8222.22	2.10819	8221.68	2.51197	8221.85	2.33973	8221.52	2.4173	8220.95	2.51514	31.9879
1512577604520	22.23	8221.11	2.36878	8220.64	2.27083	8220.77	2.55453	8220.28	2.24574	8220.06	2.23753	31.9378
1512577605534	22.23	8221.56	1.50923	8221.36	2.27083	8221.85	1.95133	8221.28	2.11187	8220.91	2.5396	31.916
1512577606656	22.24	8219.44	1.94365	8219.52	2.4173	8219.77	2.38586	8219.48	2.27523	8219.22	2.33281	31.9094
1512577607669	22.23	8219.11	2.26078	8219.2	2.08167	8219.31	2.05688	8219.08	1.86905	8219.04	2.27617	31.8659
1512577608681	22.24	8219	2.39792	8218.56	2.2561	8219.08	2.4311	8218.32	2.17409	8218.31	2.37277	31.868
1512577609706	22.24	8217.89	1.83333	8217.6	1.91485	8218	1.87083	8217.64	1.70489	8217.62	2.01994	31.8115
1512577610744	22.23	8220	2.29129	8219.2	1.82574	8219.77	2.20431	8219.16	1.90788	8218.26	1.99876	31.8746
1512577611770	22.24	8218.78	2.22361	8218.08	2.17792	8218.69	2.3939	8218.16	2.11503	8217.78	2.00632	31.8572
1512577612796	22.24	8218.56	2.29734	8218.32	1.86458	8218.69	2.01596	8218.6	1.89297	8218.36	2.03947	31.8463
1512577613837	22.23	8220.89	2.42097	8220.12	1.87794	8220.69	2.17503	8220.08	2.1587	8219.67	2.23191	31.855
1512577614880	22.23	8219.33	2.39792	8219.04	2.16949	8219.46	2.40192	8219	2.39792	8218.54	2.40004	31.8594
1512577615987	22.24	8218.22	2.43812	8217.8	2.19848	8218.15	2.54448	8217.96	2.28181	8218.22	2.29971	31.8441
1512577617090	22.23	8217.78	2.3863	8216.92	2.11975	8217.38	2.36426	8217.12	2.08806	8217.85	2.38914	31.8137
1512577618152	22.24	8218	2.23607	8217.44	1.80462	8217.69	2.17503	8217.4	1.84842	8218.17	2.07836	31.8267
1512577619178	22.25	8218.22	2.33333	8217.68	2.07605	8217.85	2.47811	8217.8	2	8217.88	2.23492	31.8398
1512577620210	22.24	8220.11	2.52212	8219.16	1.81842	8219.69	2.17503	8219.2	1.91485	8218.66	2.17877	31.9115
1512577621223	22.25	8219.11	2.42097	8218.08	2.08006	8218.85	2.11527	8218.08	2.1	8217.83	2.27383	31.8919
1512577622242	22.24	8219.44	2.29734	8219.24	1.83212	8219.31	2.17503	8219.04	1.90351	8218.63	2.39481	31.8854
1512577623295	22.25	8219	1.65831	8218.52	1.61038	8218.85	1.72463	8218.44	1.58325	8218.89	2.11482	31.8724
1512577624341	22.25	8219.11	2.20479	8218.68	2.03552	8219.08	2.49872	8218.6	2.02073	8218.79	2.24503	31.8898
1512577625364	22.25	8218.33	1.80278	8218.16	1.86369	8218.23	2.08782	8218.08	2.08006	8218.03	2.40639	31.8376
1512577626471	22.25	8219.11	2.26078	8218.44	1.80462	8218.69	2.01596	8218.48	2.0232	8218.67	2.41822	31.8811
1512577627546	22.26	8220	2.06155	8219.04	2.22636	8219.69	1.88788	8218.96	2.33595	8218.4	2.47327	31.9028
1512577628624	22.24	8219.89	1.61589	8219.52	1.8735	8219.54	1.76141	8219.52	1.85113	8218.96	2.49034	31.9028
1512577629650	22.24	8219.78	2.63523	8219.2	2.17945	8219.54	2.36697	8219.16	2.19241	8218.51	2.5251	31.892
1512577630702	22.25	8218.78	2.43812	8218.2	1.73205	8218.69	2.09701	8218.2	2	8217.92	2.01535	31.8615
1512577631761	22.24	8217	2.23607	8216.84	1.97231	8216.92	2.01914	8216.72	1.90438	8216.6	2.17763	31.8158
1512577632853	22.24	8217	1.58114	8216.28	2.09205	8216.69	1.97419	8216.44	2.14243	8215.83	2.52559	31.7833
1512577633868	22.25	8216.56	1.87824	8215.76	1.89912	8216.31	1.93152	8216.04	2.05102	8216.03	2.47579	31.7724
1512577634918	22.23	8216.33	2.06155	8215.8	2.17945	8216.15	2.23033	8216.12	1.98578	8215.97	2.37924	31.7226
1512577635920	22.24	8217	1.65831	8216.04	1.59374	8216.46	1.76141	8216.08	1.6052	8216.08	2.25771	31.7768
1512577636943	22.25	8216.67	2.06155	8215.32	1.77294	8215.85	2.1543	8215.32	2.03552	8215.58	2.45481	31.7703
1512577637981	22.25	8214.89	2.14735	8214.16	1.7	8214.46	1.94145	8214.16	1.79536	8215.22	2.40812	31.7247
1512577639020	22.24	8214.44	2.29734	8213.12	2.18556	8213.54	2.50384	8213.12	2.24202	8213.54	2.59803	31.7117
1512577640047	22.26	8213.44	2.29734	8212.68	1.93046	8212.77	2.38586	8212.64	2.03879	8213.31	2.86079	31.6512
1512577641071	22.25	8213.78	2.04803	8213.2	2.43242	8213.15	2.23033	8213.32	2.51197	8213.56	3.17989	31.6253
1512577642198	22.24	8214.22	2.68225	8213.4	2.34521	8213.77	2.35067	8213.32	2.19317	8213.23	2.62	31.6836
1512577643214	22.25	8214.56	2.78887	8213.64	2.61215	8214.15	2.44425	8213.76	2.38537	8214.48	2.62217	31.6879
1512577644263	22.24	8214	2.59808	8213.36	2.67519	8213.69	2.49615	8213.32	2.59358	8213.6	2.78433	31.6793
1512577645311	22.25	8215.78	3.19287	8215.4	2.43242	8215.69	2.75029	8215.56	2.34663	8214.96	2.61174	31.6685
1512577646402	22.24	8214.56	2.50555	8214.4	1.91485	8214.46	2.18386	8214.56	2.00167	8214.61	2.43464	31.6879
1512577647428	22.23	8216.11	2.57121	8215.2	2.66145	8216	2.58199	8215.24	2.63439	8214.58	2.48223	31.7486
1512577648447	22.25	8214.33	2.12132	8213.32	2.49533	8213.92	2.28989	8213.48	2.34734	8214.01	2.51557	31.6793
1512577649479	22.25	8213.11	2.89156	8212.72	2.95127	8212.85	2.88231	8212.64	2.88502	8212.82	2.63195	31.6252
1512577650590	22.24	8216.67	2.59808	8214.8	2.75379	8216	2.58199	8214.96	2.82076	8213.61	2.40017	31.7703
1512577651643	22.24	8215.56	2.29734	8213.48	2.7556	8214.46	2.78733	8213.68	2.6096	8213.23	2.42008	31.7334
1512577652696	22.24	8213.89	2.52212	8212.32	2.5285	8213.38	2.43374	8212.72	2.37206	8212.09	2.39303	31.675
1512577653766	22.24	8212	2.44949	8211.12	2.4379	8211.69	2.32324	8211.2	2.16025	8211.42	2.32195	31.5886
1512577654860	22.24	8212.67	2.12132	8211.88	1.9	8212.23	2.04751	8211.72	1.92614	8211.89	2.37469	31.6317
1512577655873	22.24	8211.56	2.24227	8211.4	1.95789	8211.38	1.98068	8211.44	1.98074	8211.62	2.38199	31.5713
1512577656913	22.24	8212.67	2.29129	8211.2	2.29129	8211.69	2.75029	8211.24	2.42006	8211.6	2.47517	31.6209
1512577657938	22.24	8213.67	2.78388	8212.08	2.5482	8213.23	2.71274	8212.48	2.58392	8211.46	2.53299	31.6555
1512577658950	22.24	8214.22	2.10819	8212.32	3.11876	8213.77	2.20431	8212.6	2.98608	8212.47	2.93514	31.6944
1512577660023	22.24	8213.44	2.60342	8212.76	2.45425	8213.38	2.36426	8212.76	2.43721	8212.78	2.4994	31.6317
1512577661049	22.24	8214.11	2.20479	8213.04	2.4235	8213.69	2.56205	8213.16	2.4779	8212.68	2.51632	31.6944
1512577662129	22.22	8213.56	2.45515	8212.72	2.6064	8213.31	2.6263	8212.8	2.39792	8212.29	2.35822	31.6425
1512577663169	22.23	8214.33	2	8213.16	2.46103	8214.15	1.86396	8213.52	2.10396	8213.17	2.70868	31.6728
1512577664193	22.24	8213.78	1.85592	8212.92	2.34379	8213.69	1.79743	8213.2	2.23607	8212.58	2.57492	31.6598
1512577665218	22.24	8212.11	2.14735	8211.4	2.14087	8211.92	2.06	8211.64	1.93391	8211.68	2.336	31.5972
1512577666287	22.24	8212.67	2.91548	8211.6	2.69258	8212.38	2.66266	8212.08	2.62869	8212.06	2.80473	31.6231
1512577667317	22.24	8210.78	2.27913	8210.4	2.10159	8210.92	2.13937	8210.8	2.08167	8210.99	2.78199	31.5455
1512577668344	22.25	8213.56	3.24465	8212.64	2.44745	8213.54	2.72688	8212.88	2.66646	8211.55	2.71347	31.6425
1512577669356	22.25	8212.78	2.43812	8212.4	1.93649	8212.69	2.17503	8212.6	1.84842	8211.67	2.13165	31.6425
1512577670536	22.24	8213.22	2.68225	8212.52	2.16256	8212.92	2.62874	8212.68	2.34023	8211.59	2.3417	31.6361
1512577671622	22.24	8213.44	2.4037	8213.32	1.86458	8213.77	2.12736	8213.24	2.22261	8212.46	2.1794	31.649
1512577672668	22.24	8212.78	2.63523	8212.64	2.27083	8212.85	2.47811	8212.8	2.32737	8212.4	2.44979	31.6361
1512577673765	22.23	8214.56	2.4037	8214.6	3.3665	8214.77	3.63212	8214.84	3.2104	8213.94	2.89789	31.6879
1512577674805	22.24	8213.33	1.93649	8212.92	2.64449	8213.08	3.06761	8213.2	2.51661	8212.26	2.40174	31.5994
1512577675850	22.24	8213.22	1.64148	8212.32	2.15484	8212.69	2.21302	8212.24	2.10713	8211.8	2.28505	31.6361
1512577676952	22.24	8213.67	1.73205	8212.56	2.34663	8213.23	1.83275	8213	1.95789	8212.16	2.44312	31.608
1512577678029	22.25	8215.78	1.56347	8214.36	2.54755	8214.85	2.30384	8214.52	2.31157	8213.73	2.41786	31.7486
1512577679054	22.24	8213.67	2.29129	8212.32	2.59358	8212.85	2.47811	8212.68	2.19317	8212.23	2.38481	31.6879
1512577680081	22.24	8212.56	2.69774	8211.12	2.48864	8211.77	2.71274	8211.4	2.36291	8211.28	2.41619	31.6166
1512577681223	22.23	8211.11	2.36878	8209.88	2.24202	8210.23	2.48843	8210.12	2.1276	8210.33	2.46901	31.5606
1512577682300	22.24	8212	3.60555	8211.48	2.91719	8211.77	3.32049	8211.84	2.82371	8210.8	2.95198	31.5886
1512577683386	22.24	8211.67	3.1225	8210.64	2.92803	8211.15	3.15822	8211.28	2.74651	8211.03	2.89199	31.5799
1512577684412	22.24	8210	2.54951	8209.64	2.34307	8209.92	2.75262	8210.04	2.3	8210.6	2.81946	31.5304
1512577685434	22.24	8210.22	1.92209	8209.2	2.14087	8209.69	2.35884	8209.32	2.15484	8209.67	2.67976	31.5347
1512577686462	22.25	8209.22	2.3863	8208.64	2.48126	8208.92	2.39658	8209.24	2.63439	8209.69	2.58335	31.4744
1512577687488	22.23	8211.11	2.75882	8210.08	2.82725	8210.62	2.93083	8210.4	2.69258	8210.46	2.38034	31.5562
1512577688584	22.25	8212.33	2	8211.72	2.11187	8211.92	1.97744	8211.64	1.68028	8211.51	2.08946	31.6015
1512577689606	22.24	8212	1.58114	8211.24	2.04695	8211.23	2.20431	8211.12	1.85562	8210.66	1.95404	31.595
1512577690646	22.24	8211.44	2.06828	8211.28	1.79165	8211.15	2.11527	8211.56	1.89473	8211.58	2.23258	31.5821
1512577691672	22.24	8210.44	2.00693	8210.24	1.85472	8210.15	2.11527	8210.52	1.80555	8210.28	2.17386	31.5282
1512577692717	22.25	8210.33	1.87083	8210.28	1.56844	8210.08	1.70595	8210.32	1.43527	8210.05	2.12804	31.5175
1512577693823	22.24	8212.89	2.66667	8212.12	2.31517	8212.23	2.5217	8211.88	2.35089	8211.46	2.21251	31.6317
1512577694848	22.25	8212.89	3.444	8212.44	2.46779	8212.62	2.8734	8212.32	2.39305	8211.94	2.53646	31.6231
1512577695904	22.25	8212.22	2.68225	8211.52	2.08407	8211.85	2.37508	8211.48	2.0232	8211.35	2.30233	31.6037
1512577697013	22.25	8211.22	2.81859	8211.64	2.61215	8211.38	2.84425	8211.4	2.62996	8211.61	2.22213	31.5735
1512577698017	22.25	8210.89	2.47207	8211.12	2.16641	8210.85	2.37508	8211	2.14087	8211.26	2.147	31.5368
1512577699052	22.25	8212.11	2.08833	8211.48	2.21961	8211.85	2.30384	8211.48	2.0232	8211.33	2.24819	31.5929
1512577700079	22.25	8214.56	1.33333	8213.68	1.86458	8213.85	1.86396	8213.32	2.28619	8212.47	2.41526	31.6879
1512577701130	22.25	8212	1.41421	8211.8	1.44338	8211.54	1.6641	8211.72	1.56844	8211.82	2.4174	31.6123
1512577702156	22.24	8212.67	1.87083	8211.96	1.88149	8212.08	1.97744	8212.08	1.95619	8212.25	2.33024	31.6166
1512577703168	22.24	8215.44	1.5899	8213.48	2.21961	8214.31	2.32324	8213.48	2.18174	8212.53	2.45377	31.7443
1512577704193	22.23	8215.56	1.87824	8214.48	1.96044	8214.62	2.2188	8214.48	2.0025	8214.07	2.15557	31.6468
1512577705238	22.23	8215.11	1.83333	8214.24	2.0672	8214.23	2.38586	8214.08	2.19697	8213.84	2.35776	31.7031
1512577706279	22.23	8214.56	2.12786	8213.56	2.2561	8213.92	2.39658	8213.8	2.38048	8213.2	2.30773	31.6901
1512577707308	22.23	8215.11	2.08833	8214.52	1.98158	8214.85	1.86396	8214.64	2.01825	8213.89	2.31783	31.7031
1512577708378	22.23	8215.67	1.73205	8214.4	1.91485	8215.23	1.73944	8214.6	2.08167	8213.53	2.27314	31.7248
1512577709423	22.23	8217.33	2.06155	8216.24	1.83212	8217	1.91485	8216.2	2.10159	8214.98	2.08536	31.7898
1512577710476	22.23	8214.56	2.4037	8214.12	2.61916	8214.46	2.53691	8214.2	2.66145	8213.55	2.56964	31.6901
1512577711544	22.24	8213.89	2.20479	8213	2.51661	8213.62	2.66266	8213.12	2.4379	8212.66	2.47394	31.6555
1512577712640	22.22	8212.89	2.66667	8212.4	2.48328	8212.77	2.89119	8212.28	2.40693	8211.8	2.43789	31.6209
1512577713652	22.23	8212.44	2.4037	8211.72	2.38956	8212	2.54951	8211.72	2.28254	8211.81	2.58127	31.5993
1512577714677	22.24	8212.67	2.44949	8211.56	2.43379	8211.92	2.53185	8211.52	2.2383	8211.68	2.64154	31.5541
1512577715826	22.24	8213.89	2.02759	8213.08	2.41385	8213.31	2.32324	8213.16	2.32164	8212.85	2.39785	31.6685
1512577716958	22.25	8212.67	2.73861	8212.28	2.13151	8212.23	2.65059	8212.12	2.26053	8212.32	2.43679	31.6209
1512577717970	22.24	8212.67	2.44949	8212.12	2.02731	8212.38	2.29269	8212.08	2.01908	8211.79	2.28185	31.6209
1512577719008	22.26	8211.22	2.68225	8210.44	2.34663	8211	2.41523	8210.6	2.12132	8210.34	2.51395	31.5519
1512577720049	22.24	8211.22	2.48886	8210.84	1.95107	8211.08	2.17798	8211	2.10159	8211.56	2.69011	31.5713
1512577721074	22.24	8211.89	2.26078	8211.28	1.94765	8211.46	2.06621	8211.4	1.95789	8211.51	2.24796	31.5907
1512577722085	22.24	8212.22	2.99073	8212.12	2.47184	8212.31	2.59437	8212.28	2.47521	8211.91	2.55104	31.5994
1512577723160	22.25	8211.11	3.05959	8211.12	2.4379	8211.31	2.75029	8211.4	2.43242	8210.87	2.24277	31.5648
1512577724239	22.25	8211.89	2.848	8211.72	2.15097	8211.92	2.62874	8211.92	2.13931	8211.27	2.03356	31.5821
1512577725264	22.25	8212.11	2.61937	8212.2	2.32737	8212	2.64575	8212.08	2.34379	8211.51	2.25028	31.5994
1512577726302	22.25	8212.67	2.54951	8212.16	2.33952	8212.38	2.53438	8212.48	2.38258	8211.72	2.35333	31.6188
1512577727315	22.25	8212.67	2.54951	8212.28	2.13151	8212.46	2.36697	8212.24	2.20378	8212.62	2.2726	31.6209
1512577728347	22.25	8213.22	2.43812	8213.04	1.98914	8213.15	2.23033	8212.96	2.05102	8212.49	2.40249	31.6425
1512577729370	22.24	8214	2.44949	8213.24	1.83212	8213.54	2.18386	8213.32	1.93046	8212.96	2.32252	31.6598
1512577730416	22.24	8212.78	2.33333	8211.8	1.89297	8212.38	2.2188	8212.12	1.98578	8212.05	2.2793	31.6361
1512577731418	22.25	8214.56	2.50555	8213.52	2.29347	8214	2.38048	8213.52	2.21961	8212.54	2.38262	31.6944
1512577732456	22.25	8213.11	2.71314	8212.4	2.21736	8212.46	2.53691	8212.52	2.27523	8211.84	2.37612	31.6382
1512577733527	22.24	8213.22	2.27913	8212.2	2.16025	8212.62	2.29269	8212.48	2.2383	8212.18	2.31914	31.649
1512577734621	22.25	8212.44	2.12786	8212.24	2.16564	8212.38	2.59931	8212.32	2.13542	8212.9	2.23272	31.6209
1512577735647	22.24	8212.44	2.74368	8211.84	2.30362	8212.15	2.60916	8211.96	2.16949	8211.9	2.16257	31.6036
1512577736684	22.25	8213.22	1.98606	8212.08	2.1587	8212.77	2.27866	8212.4	2.32737	8211.87	2.51506	31.6447
1512577737732	22.24	8212.22	2.33333	8211.68	2.37557	8212	2.48328	8212.04	2.33595	8212.06	2.42733	31.6145
1512577738739	22.24	8214.44	2.45515	8213.12	2.47184	8213.46	2.72688	8213.12	2.6032	8212.51	2.51479	31.6274
1512577739762	22.25	8214.33	2.5	8213.12	2.40347	8213.62	2.63117	8213.32	2.19317	8213.27	2.22204	31.6836
1512577740809	22.25	8213.78	2.68225	8212.76	2.16564	8213.23	2.5217	8212.76	2.12681	8212.55	2.14534	31.6685
1512577741903	22.25	8213.89	3.1798	8213	2.59808	8213.38	2.93083	8213.2	2.3094	8212.96	2.20283	31.675
1512577742975	22.25	8215.33	2.95804	8213.84	2.33952	8214.54	2.75727	8214	2.3094	8214.07	2.35074	31.7312
1512577744016	22.25	8215.22	2.77389	8214.12	2.35089	8214.54	2.66506	8214.12	2.2971	8214.11	2.48403	31.7334
1512577745106	22.23	8215.22	2.68225	8215.4	2.34521	8215.15	2.57702	8215.28	2.37206	8215.15	2.31913	31.6966
1512577746147	22.25	8215.56	2.69774	8215.4	2.39792	8215.31	2.59437	8215.44	2.39931	8215.35	2.67681	31.7269
1512577747170	22.24	8214.67	2.82843	8214.2	2.29129	8214.38	2.59931	8214.32	2.35797	8214.13	2.48303	31.7009
1512577748183	22.25	8216.11	2.08833	8215.4	2.27303	8215.92	2.39658	8215.6	2.23607	8215.06	2.30178	31.7637
1512577749322	22.26	8215.78	2.68225	8214.96	2.31805	8215.38	2.63117	8214.96	2.4235	8214.49	2.41333	31.7356
1512577750362	22.24	8214.67	2.29129	8214.32	1.99416	8214.54	2.06621	8214.4	1.80278	8214.55	2.25656	31.6966
1512577751373	22.25	8214.33	3.5	8214.44	2.46779	8214.69	2.95479	8214.44	2.88791	8214.11	2.38563	31.6923
1512577752412	22.25	8214.89	2.31541	8214.76	1.92094	8214.62	2.02231	8214.48	2.16256	8214.62	2.40809	31.7074
