Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512553992642	13.95	8235.11	2.20479	8234.56	2.23756	8234.69	2.17503	8234.6	2.53311	8234.35	2.38019
1512553993745	13.95	8234.22	1.98606	8234	1.93649	8234	1.77951	8234.08	2.1	8233.74	2.19261
1512553994771	13.95	8234.22	1.56347	8234.04	1.45717	8234.08	1.5525	8234.04	1.54056	8234.06	2.0519
1512553995796	13.95	8236.22	2.72845	8235.12	2.22336	8235.77	2.38586	8235.36	2.32522	8234.66	2.18831
1512553996816	13.95	8235	2.12132	8234.76	2.02649	8234.77	2.42053	8234.76	2.08726	8234.37	2.1101
1512553997847	13.95	8235.78	1.56347	8235.04	1.74356	8235.23	1.7867	8235.08	1.75404	8233.93	1.90529
1512553998873	13.96	8236.11	2.02759	8235.88	1.69115	8235.85	1.86396	8235.68	1.93046	8234.63	2.18766
1512553999899	13.96	8235.22	1.39443	8235.4	1.55456	8235.31	1.49358	8235.32	1.86458	8234.74	2.05336
1512554000924	13.96	8234.44	1.23603	8234.4	1.47196	8234.31	1.79743	8234.12	1.98578	8233.62	2.007
1512554001951	13.95	8233.67	1.41421	8233.68	2.13542	8233.31	2.25036	8233.48	2.2383	8233.24	2.28108
1512554003022	13.96	8234.11	1.76383	8234.24	1.66533	8234.15	1.77229	8234.24	1.76257	8233.93	2.24419
1512554004100	13.96	8233.11	1.36423	8232.8	1.58114	8232.85	1.62512	8232.84	1.86369	8232.77	2.20318
1512554005142	13.96	8234.89	2.89156	8234.12	2.55473	8234.15	2.82389	8234.04	2.63755	8233.2	2.34134
1512554006176	13.96	8234.56	1.87824	8234.4	2.19848	8234.15	2.0755	8234.52	1.98158	8233.54	2.25448
1512554007179	13.95	8234.78	1.20185	8234.08	1.70587	8234.15	1.57301	8234.12	1.64114	8233.21	1.99255
1512554008218	13.95	8236.33	1.41421	8236.24	1.76257	8236.08	1.801	8236.12	1.76352	8234.82	2.17065
1512554009256	13.95	8235.67	1.58114	8235.6	1.65831	8235.15	1.77229	8235.4	1.87083	8234.47	2.16028
1512554010280	13.97	8235.89	2.02759	8235.36	1.8	8235.38	2.02231	8235.24	2.00582	8233.93	2.03227
1512554011295	13.97	8235.11	2.08833	8234.2	1.87083	8234.54	2.22169	8234.12	2.04776	8232.65	1.96816
1512554012360	13.96	8233.44	1.87824	8232.96	1.81384	8233	1.91485	8232.96	2.13073	8231.96	1.96684
1512554013460	13.97	8233.44	2.35112	8233.44	2.06317	8233.15	2.30384	8233.32	2.21209	8232.78	2.23474
1512554014486	13.96	8234.11	1.76383	8233.8	1.95789	8233.92	1.801	8233.76	2.00582	8232.98	2.43772
1512554015509	13.97	8234.33	2.23607	8233.36	2.37837	8233.38	2.66266	8233.6	2.19848	8233	1.95256
1512554016521	13.96	8234.67	2.39792	8234.2	3.14907	8234	2.91548	8234.32	3.11876	8233.35	2.18868
1512554017547	13.97	8234.56	2.24227	8234	2.29129	8233.92	2.28989	8234.08	2.27156	8232.57	2.31987
1512554018573	13.96	8234	2.54951	8233.64	1.95533	8233.69	2.25036	8233.76	1.96384	8233.17	2.19772
1512554019713	13.97	8234.67	2.64575	8233.72	2.33666	8234.31	2.52932	8233.8	2.23607	8233.05	2.39518
1512554020788	13.96	8233.56	2.87711	8233.84	2.15407	8233.62	2.56705	8233.6	2.12132	8233.05	2.27702
1512554021879	13.96	8234.11	2.14735	8233.88	2.04776	8233.85	2.37508	8234.08	1.97737	8233.36	2.44375
1512554022905	13.96	8234	2	8233.36	1.86815	8233.62	2.14237	8233.44	2.02237	8233.21	2.06371
1512554023929	13.96	8237.89	1.83333	8237.84	2.13464	8237.69	1.88788	8237.88	2.1276	8235.7	2.53328
1512554024955	13.95	8234.89	1.90029	8234.76	1.69017	8234.69	1.60128	8234.8	1.84842	8233.83	2.21347
1512554026006	13.95	8235	1.80278	8234.28	1.6207	8234.62	1.80455	8234.2	1.73205	8233.65	2.00487
1512554027120	13.95	8236.44	2.06828	8235.08	2.1	8235.54	2.22169	8235.24	1.98494	8234.11	2.28527
1512554028162	13.95	8235.11	2.52212	8234.56	2.00167	8234.62	2.29269	8234.56	2.16179	8234.01	2.33296
1512554029187	13.93	8234	1.5	8233.88	1.33292	8233.77	1.48064	8233.88	1.56312	8234.3	2.02404
1512554030201	13.92	8235.56	1.5899	8234.56	1.66032	8235	1.73205	8234.56	1.87261	8234.77	2.0798
1512554031349	13.95	8237	1.80278	8236.4	1.65831	8236.46	2.06621	8236.36	1.97653	8235.97	2.21838
1512554032362	13.93	8234.11	1.76383	8233.64	1.46856	8233.77	1.64083	8233.64	1.46856	8232.68	2.18389
1512554033448	13.92	8234.67	2.29129	8234.44	1.75784	8234.54	2.14536	8234.56	2.00167	8234.4	2.1678
1512554034544	13.92	8235	2.44949	8234.24	2.0672	8234.46	2.40192	8234.36	2.19621	8234.5	2.494
1512554035555	13.93	8236	2.06155	8235.72	2.11187	8235.92	2.4311	8235.8	2.06155	8235.09	2.20499
1512554036579	13.92	8234.78	1.64148	8234.32	1.97315	8234.62	2.18092	8234.44	2.04287	8234.4	2.20355
1512554037621	13.93	8235.78	2.04803	8235.12	1.78699	8235.54	1.85362	8235.24	1.66533	8234.46	2.16501
1512554038761	13.92	8235.56	2.06828	8234.88	2.42074	8234.69	2.49615	8234.68	2.28619	8234.62	2.57353
1512554039819	13.92	8235.56	1.81046	8234.84	2.35726	8234.92	2.59684	8234.76	2.20378	8233.83	2.22832
1512554040843	13.92	8234.22	1.85592	8233.44	2.06317	8233.46	2.43637	8233.28	2.37206	8233.03	2.21603
1512554041869	13.93	8235.11	3.14024	8234.32	2.42762	8234.85	2.6409	8234.48	2.53509	8233.43	2.12782
1512554042911	13.93	8233.44	2.50555	8232.96	2.15019	8233	2.48328	8232.92	2.37908	8233.14	2.30401
1512554044055	13.93	8232.56	2.74368	8232.56	2.38188	8232.38	2.43374	8232.44	2.66271	8233.1	2.35311
1512554045126	13.91	8234.56	3.35824	8234.04	2.50799	8234.08	2.90004	8234.04	2.66896	8234.01	2.01812
1512554046152	13.92	8233.89	1.76383	8233.6	1.63299	8233.54	1.76141	8233.64	1.823	8233.5	1.84595
1512554047349	13.92	8233.78	1.71594	8233.36	1.72916	8233.46	1.6641	8233.32	2.07605	8233.13	2.01879
1512554048447	13.92	8233.89	1.96497	8233.52	1.73494	8233.62	1.98068	8233.44	2.06317	8232.85	2.20551
1512554049560	13.92	8234.44	2.50555	8234.08	1.91311	8234.38	2.32875	8234.04	2.05102	8233.17	2.09334
1512554050596	13.92	8235.89	2.848	8235.28	2.26421	8235.38	2.56705	8235.28	2.37206	8234.67	1.94291
1512554051647	13.92	8234.22	2.48886	8234.28	2.38956	8233.92	2.28989	8234.24	2.63439	8234.07	2.25114
1512554052674	13.92	8236	2.95804	8235.36	2.41316	8235.31	2.68901	8235.4	2.61406	8234.8	2.22734
1512554053738	13.92	8237.44	2.35112	8236.84	1.88591	8237.15	2.0755	8236.84	2.21133	8235.39	2.22448
1512554054813	13.92	8237.33	2.29129	8237.2	2.04124	8237.15	1.95133	8236.92	2.34379	8235.66	2.26779
1512554055855	13.91	8237	1.5	8236.72	2.09205	8236.85	1.28103	8236.72	2.18937	8235.91	2.471
1512554056883	13.91	8235.67	1.87083	8236.2	2.25462	8235.69	1.70219	8236.16	2.33952	8235.7	2.50268
1512554057974	13.91	8235.56	2.74368	8235.36	2.15793	8235.31	2.46254	8235.44	2.21886	8235	2.37829
1512554059030	13.9	8235.33	2.69258	8234.96	2.00998	8235.08	2.56455	8235	2.32737	8234.82	2.11721
1512554060094	13.91	8236.56	2.92024	8235.92	2.28983	8235.85	2.91108	8235.92	2.46509	8236.32	2.19384
1512554061097	13.91	8237.22	1.98606	8237.36	1.84572	8237.08	1.97744	8237.36	1.97653	8237.22	2.0709
1512554062123	13.91	8237.44	2.00693	8237	1.82574	8236.92	1.93484	8237	1.95789	8237.08	2.18641
1512554063148	13.9	8236	1.5	8235.96	1.42829	8235.92	1.38212	8235.96	1.67033	8236.15	2.12456
1512554064174	13.91	8236.44	1.81046	8236.32	2.05589	8236.38	2.25605	8236.32	2.11581	8235.75	2.08924
1512554065248	13.91	8236.11	2.42097	8236.04	2.11108	8235.69	2.65784	8235.84	2.37487	8235.5	2.12653
1512554066255	13.92	8236.22	1.64148	8235.68	1.99416	8235.92	2.10006	8235.68	2.35797	8235.69	2.24229
1512554067259	13.91	8235.67	1.87083	8235.16	2.19241	8235.23	2.08782	8235.44	2.70924	8235.25	2.26909
1512554068277	13.92	8235.67	1.87083	8235.12	2.10792	8235.23	2.16617	8235.2	2.32737	8235.23	2.25752
1512554069303	13.91	8237	2.29129	8236.08	2.21585	8236.54	2.40192	8236.4	2.25462	8235.6	2.29841
1512554070377	13.91	8237.67	2.59808	8236.84	2.37487	8237	2.70801	8236.96	2.3	8236.22	2.0277
1512554071402	13.93	8235.33	1.87083	8235	2.32737	8234.69	2.92645	8234.96	2.35372	8234.78	1.99664
1512554072493	13.92	8234.44	1.94365	8234.28	2.17025	8233.85	2.37508	8234.28	2.15097	8234.68	2.13122
1512554073567	13.91	8235.56	2.18581	8235.76	1.85472	8235.69	2.09701	8235.72	2.17025	8235.5	2.20351
1512554074643	13.92	8236.56	1.94365	8236.6	1.65831	8236.62	1.80455	8236.64	1.89033	8236.13	2.06378
1512554075736	13.91	8233	2.17945	8233.92	2.46509	8233.23	2.42053	8233.72	2.33666	8234.06	2.03262
1512554076759	13.91	8234.89	2.61937	8235.2	2.17945	8234.85	2.40992	8234.88	2.18556	8234.77	2.1139
1512554077833	13.91	8236.33	2.06155	8235.6	1.80278	8236.08	1.93484	8235.44	2.02237	8234.41	2.05733
1512554078860	13.92	8234.33	1.73205	8234.16	1.88591	8234.23	2.04751	8234.08	2.08006	8233.72	2.10818
1512554079902	13.92	8235.44	2.12786	8235.56	2.2745	8235.15	2.33973	8235.36	2.41316	8234.91	2.11926
1512554080920	13.92	8234.78	2.27913	8234.8	2.08167	8234.62	2.29269	8234.88	2.16641	8234.54	1.95783
1512554081953	13.92	8233.33	2.34521	8233.56	1.91659	8233.54	2.43637	8233.68	1.97315	8233.96	1.92255
1512554082962	13.92	8235	2.44949	8234.92	2.1587	8235	2.73861	8234.88	2.18556	8234.5	2.01071
1512554084003	13.91	8234.78	2.04803	8234.76	1.92094	8234.62	2.36426	8234.8	2.25462	8234.73	2.18898
1512554085029	13.91	8235.11	1.76383	8235	1.68325	8234.77	2.12736	8235	1.95789	8234.98	1.88601
1512554086066	13.92	8237.56	1.74005	8237.88	2.72825	8237.38	2.50128	8237.72	2.7313	8236.42	2.31746
1512554087179	13.91	8237.33	1.65831	8237.12	2.4379	8237	2.51661	8237.08	2.30796	8236.11	2.21441
1512554088228	13.92	8235.44	2.06828	8235.6	1.77951	8235.15	2.19265	8235.48	1.75879	8234.97	1.78954
1512554089255	13.93	8237	2.54951	8236.6	2.3094	8236.69	2.49615	8236.96	2.52455	8236.29	2.25434
1512554090302	13.93	8236	2.12132	8236.32	2.05589	8235.69	2.17503	8236.4	2.27303	8235.39	2.04615
1512554091412	13.95	8235	2.29129	8234.72	2.0108	8234.85	2.1543	8234.96	2.05102	8234.07	1.92046
1512554092535	13.93	8236.56	2.12786	8235.72	1.90438	8236.31	2.09701	8235.96	2.20756	8235.22	2.5713
1512554093560	13.93	8234.67	2.06155	8233.88	1.76352	8234.31	2.01596	8234.2	1.97906	8233.37	2.08559
1512554094619	13.93	8235	2.12132	8234.52	1.71075	8234.46	1.98391	8234.4	1.95789	8233.48	2.26636
1512554095624	13.93	8234.89	2.08833	8234.72	2.05183	8234.62	2.29269	8234.6	2.23607	8233.65	2.2127
1512554096702	13.93	8234.44	2.12786	8234.32	1.81934	8234.38	2.14237	8234.76	1.94251	8234.62	2.38199
1512554097794	13.93	8233.78	2.3863	8233.84	1.95107	8233.69	2.21302	8234.04	2.11108	8233.91	2.35131
1512554098819	13.93	8233.89	1.96497	8233.88	2.04776	8233.77	2.24179	8233.84	2.05508	8233.88	2.12257
1512554099877	13.95	8233.89	2.08833	8234	1.95789	8233.85	2.37508	8233.92	2.08006	8233.72	1.91394
1512554100984	13.95	8232.89	1.90029	8233.16	1.92959	8232.92	2.36155	8232.8	2.08167	8232.63	2.10795
1512554101998	13.95	8233.56	1.74005	8233.28	1.76824	8233.38	2.06311	8233.04	2.09125	8232.25	1.96858
1512554103134	13.97	8233.44	2.4037	8233.36	2.03879	8233.15	2.33973	8233.36	2.19621	8232.89	2.16205
1512554104175	13.93	8232.22	1.7873	8232.2	1.68325	8231.85	1.81871	8231.96	1.69509	8231.55	2.07889
1512554105201	13.95	8235.11	1.45297	8234.12	1.83303	8234.62	1.85016	8234.2	1.84842	8233.8	2.15363
1512554106227	13.95	8233.67	1.73205	8232.76	1.76257	8233.08	1.89128	8232.76	1.73877	8232.3	1.97717
1512554107264	13.96	8233.89	2.08833	8233.16	2.01412	8233.54	2.22169	8233.16	2.05508	8232.98	2.01287
1512554108429	13.97	8233.22	1.56347	8232.28	1.79165	8232.62	1.89466	8232.2	1.60728	8232.27	1.86244
1512554109515	13.96	8234.44	2.74368	8233.52	2.32952	8233.77	2.61896	8233.64	2.19621	8232.06	2.13753
1512554110607	13.96	8233.67	1.87083	8233.32	1.77294	8233.08	2.28989	8232.96	1.96808	8232.78	2.05251
1512554111681	13.96	8231.67	1.65831	8231.96	1.74356	8231.54	2.10616	8231.76	1.98494	8232.04	2.2041
1512554112734	13.97	8232.78	2.22361	8232.4	2.06155	8232.23	2.31495	8232.36	2.25241	8232.61	2.28201
1512554113780	13.96	8232.67	2.29129	8231.8	2.19848	8232	2.51661	8232	2.41523	8231.7	2.16045
1512554114888	13.96	8232.67	1.5	8232.44	1.78139	8232.54	1.6641	8232.52	1.93907	8232.13	2.0663
1512554115990	13.96	8231.89	1.76383	8232.68	1.86458	8232.08	1.97744	8232.48	1.98158	8233.04	2.24498
1512554117098	13.96	8233.11	1.61589	8232.68	1.6	8232.54	1.94145	8232.52	1.80555	8232.41	2.01665
1512554118124	13.97	8232.56	1.5899	8232.4	2.16025	8232.31	2.56205	8232.36	2.23383	8231.72	2.11996
1512554119151	13.96	8233.78	1.64148	8233.4	1.84842	8233.31	2.21302	8233.16	2.2487	8232.92	1.97468
1512554120244	13.96	8235.11	2.26078	8234.48	1.98158	8234.54	2.40192	8234.2	2.43242	8233.1	2.36855
1512554121367	13.95	8234.33	1.65831	8234.2	1.93649	8234.23	1.83275	8234.12	2.3331	8233.76	2.42766
1512554122395	13.97	8235.33	2.54951	8234.52	2.06398	8234.69	2.68901	8234.32	2.24944	8233.73	2.39138
1512554123445	13.97	8234.11	2.14735	8233.32	1.8868	8233.69	2.32324	8233.36	1.97653	8232.98	2.22082
1512554124472	13.96	8232	2.29129	8231.52	2.14321	8231.77	2.38586	8231.44	2.41661	8231.77	2.62253
1512554125496	13.96	8233.56	2.24227	8233.04	1.88149	8233.46	2.18386	8233	2.06155	8232.59	2.28085
1512554126542	13.97	8233.89	1.61589	8233.36	1.68028	8233.69	1.60128	8233.4	2.17945	8232.84	2.25002
1512554127546	13.96	8233.78	1.30171	8232.92	1.86905	8233.31	1.75046	8232.92	2.19697	8232.35	2.37395
1512554128623	13.96	8231.44	2.45515	8231.28	2.90861	8230.85	2.99572	8230.88	3.14006	8230.98	2.3913
1512554129686	13.97	8232.33	1.73205	8232.08	2.05994	8231.85	2.1543	8231.8	2.08167	8231.62	2.28832
1512554130776	13.97	8233.33	2.64575	8232.64	2.56385	8232.85	2.67227	8232.4	2.75379	8231.95	2.34241
1512554131869	13.96	8234.44	2.83333	8233.68	2.47857	8234	2.82843	8233.56	2.70924	8232.49	2.26182
1512554132894	13.96	8234.11	2.26078	8233.36	2.23383	8233.62	2.50128	8233.48	2.38258	8232.8	2.28505
1512554133929	13.97	8232.56	2.45515	8231.92	2.11975	8232.15	2.37508	8232.04	2.20756	8231.73	2.23606
1512554134985	13.97	8233.33	2.06155	8232.24	1.89912	8233	2.08167	8232.48	1.8735	8232.33	2.00577
1512554136018	13.98	8233.11	2.42097	8232.88	2.14709	8232.85	2.54448	8232.68	2.32236	8232.43	2.05815
1512554137095	13.98	8232.22	1.98606	8232.24	2.00582	8232	2.04124	8232.08	2.25315	8231.51	1.9395
1512554138120	13.98	8232	1.87083	8230.92	1.95619	8231.08	2.21591	8231.12	2.06801	8230.6	1.91795
1512554139146	13.97	8230.44	1.74005	8229.84	2.01412	8229.85	1.90815	8230	2.25462	8229.6	2.10465
