Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512493254071	18.5	8002.89	2.08833	8003.24	2.14631	8002.77	2.0064	8002.92	2.1	8003.71	2.07885
1512493255235	18.51	8004.56	1.81046	8004.32	2.41039	8004.54	2.14536	8004.08	2.30796	8003.7	2.07988
1512493256366	18.5	8002.89	1.61589	8003.04	1.96808	8002.85	1.57301	8002.56	2.04287	8003.07	2.02603
1512493257387	18.5	8003.89	1.36423	8004.32	1.90875	8003.92	1.32045	8003.88	1.66633	8004.28	2.08028
1512493258441	18.5	8003.33	1.65831	8003.56	2.08327	8003.38	1.50214	8003.28	1.56844	8003.71	2.1357
1512493259466	18.5	8003	2	8003.52	2.18174	8003.54	1.89804	8003.4	1.87083	8002.81	2.05051
1512493260477	18.5	8005.56	2.74368	8005.2	2.21736	8005.62	2.39925	8004.76	2.36784	8003.79	2.34932
1512493261489	18.5	8005.67	1.73205	8005.64	1.52425	8005.54	1.5064	8005.12	1.78699	8004.66	1.96997
1512493262691	18.51	8004.44	2.78887	8004.64	2.30723	8004.31	2.71982	8004	2.5	8004.06	1.90992
1512493263702	18.51	8003.33	2.39792	8003	2.23607	8002.77	2.48843	8002.36	2.498	8002.46	2.22668
1512493264747	18.5	8002.33	2.34521	8001.96	2.24499	8002	2.27303	8001.44	2.18098	8001.98	2.13472
1512493265820	18.53	8004.11	1.76383	8003.6	1.82574	8004.31	1.60128	8003.32	2.03552	8003.58	1.97532
1512493266845	18.52	8003.44	1.87824	8003.32	1.77294	8003.46	1.61325	8003.16	1.88591	8002.8	1.75166
1512493268001	18.53	8002.44	2.00693	8002.4	2.04124	8002.38	1.85016	8001.92	1.99833	8002.27	2.0213
1512493269011	18.52	8003.44	1.5899	8002.52	2.10396	8003.08	1.49786	8002.6	1.87083	8002.38	2.17393
1512493270179	18.52	8003	2.29129	8003.28	2.13151	8003	2.16025	8003.04	2.00998	8003.01	2.16145
1512493271226	18.52	8001.56	2.35112	8001.72	1.72047	8001.62	2.02231	8001.52	1.82848	8001.39	1.95266
1512493272260	18.54	8001.33	1.93649	8001	2.02073	8001.54	1.85362	8001.04	1.94679	8001.67	2.0701
1512493273290	18.53	8002.11	2.47207	8001.64	1.823	8001.85	2.1543	8001.28	2.09205	8001.13	1.89814
1512493274376	18.55	8002.22	2.72845	8001.64	2.13854	8001.77	2.48843	8001.04	2.44063	8001.37	2.16884
1512493275445	18.54	8000.78	1.39443	7999.96	1.85921	8000.23	1.64083	7999.84	1.88591	7999.97	1.94161
1512493276532	18.53	8001.67	0.866025	8000.96	1.48549	8001.23	1.30089	8000.4	1.82574	8000.87	1.8463
1512493277558	18.53	8001.33	1.32288	8001.56	1.70978	8001.23	1.30089	8001	1.70783	8001.49	1.78859
1512493278611	18.54	8001	1.73205	8000.8	1.65831	8000.85	1.67562	8000.48	1.71075	8000.77	1.92566
1512493279637	18.54	7999.67	1.5	7999.76	1.78606	7999.31	1.79743	7999.6	1.82574	7999.66	1.90546
1512493280651	18.54	8000.89	1.69148	8000.52	1.61038	8000.77	1.5359	8000.32	1.77294	8000.53	2.0642
1512493281913	18.55	8000.78	1.98606	8000.44	2.00167	8000.62	1.98068	8000.24	2.0672	8000.6	2.1339
1512493282914	18.54	8001.78	1.98606	8001.28	1.83757	8001.62	1.85016	8001.04	1.81384	8000.74	1.91628
1512493283956	18.54	8003.78	2.43812	8002.92	2.03961	8003.38	2.29269	8002.88	2.08806	8001.69	2.0353
1512493284993	18.54	8000.89	2.31541	8001.12	1.9	8001.15	2.23033	8000.96	1.83666	8000.66	2.0583
1512493286039	18.55	7998.89	1.61589	7999.56	2.34663	7999.31	1.97419	7999.4	2.02073	7999.77	2.15054
1512493287137	18.55	7999.33	1.11803	7999.84	2.11503	7999.77	1.83275	7999.64	2.01825	8000.1	2.34202
1512493288184	18.55	7999.67	1.32288	7999.76	1.76257	7999.31	1.37747	7999.4	1.63299	7998.91	1.9652
1512493289296	18.56	7999.11	1.2693	7999.16	1.67531	7998.85	1.3445	7998.92	1.70587	7998.87	1.8293
1512493290322	18.57	7997.78	1.30171	7997.8	1.44338	7998	1.29099	7997.76	1.45144	7997.4	1.83779
1512493291363	18.56	7997.22	1.56347	7997.2	1.73205	7997.38	1.50214	7997.04	1.56738	7996.97	1.88996
1512493292402	18.57	7998	1.5	7998.28	1.30767	7998	1.29099	7997.88	1.45258	7997.37	2.13219
1512493293406	18.57	7997.67	1.22474	7997.68	1.4922	7997.62	1.19293	7997.48	1.5843	7997.79	2.3786
1512493294452	18.57	7997.89	2.02759	7997.48	2.0232	7997.85	1.95133	7997.24	2.00582	7997.39	2.38687
1512493295564	18.57	7997.33	1.5	7997.32	2.09603	7997.31	1.60128	7996.92	1.95619	7996.9	2.16498
1512493296590	18.57	7997.44	2.06828	7996.96	1.90351	7997.15	1.81871	7996.44	1.89473	7997.13	2.15029
1512493297627	18.56	7996.67	1.80278	7996.44	2.06317	7996.23	2.04751	7996	1.95789	7997.09	2.30525
1512493298647	18.57	7997.11	2.08833	7997.24	1.98494	7997.15	1.90815	7997	1.91485	7997.92	2.36273
1512493299691	18.59	7996.78	2.22361	7996.84	2.51131	7996.69	2.32324	7996.64	2.44745	7997.39	2.66913
1512493300743	18.57	7996.78	1.92209	7997.08	2.23458	7996.85	1.95133	7996.92	2.23458	7996.75	2.11402
1512493301832	18.57	7997.67	2.06155	7997.56	2.70924	7997.38	2.2188	7997.16	2.76405	7997.26	2.23729
1512493302885	18.59	7995.89	1.96497	7995.92	2.43105	7995.77	2.24179	7995.52	2.34734	7996.32	2.48127
1512493303899	18.57	7995.67	1.80278	7996.4	2.69258	7995.85	2.19265	7995.76	2.45425	7996.4	2.45191
1512493304925	18.59	7997.11	2.42097	7997.16	2.64071	7996.92	2.36155	7996.48	2.83019	7996.09	2.41469
1512493305998	18.59	7995.44	1.81046	7996.12	2.20454	7995.62	1.7097	7995.6	2.14087	7996.39	1.98178
1512493307090	18.57	7996	1.32288	7996.52	2.43447	7996.08	1.44115	7996	2.32737	7996.19	2.13345
1512493308116	18.57	7997.78	1.71594	7998.12	2.36854	7997.69	1.88788	7997.48	2.32952	7997.79	2.33217
1512493309126	18.59	7997.33	1.41421	7997.4	2.27303	7997.23	1.48064	7996.76	2.20378	7997.04	2.52565
1512493310151	18.59	7997.22	1.48137	7997.36	2.13854	7997.62	1.44559	7997.04	2.07123	7997.13	2.27505
1512493311205	18.59	7997.44	1.74005	7997.24	2.38537	7997.54	2.14536	7997.32	2.21209	7997.46	2.39995
1512493312333	18.59	7996.56	1.424	7996.52	1.68622	7996.92	1.38212	7996.52	1.63605	7996.9	2.38608
1512493313336	18.59	7995.44	1.87824	7995.8	2.04124	7995.92	1.801	7995.64	1.95533	7996.37	2.38609
1512493314374	18.57	7996.89	2.57121	7996.48	2.06398	7996.62	2.18092	7996.12	2.04776	7996.41	1.96938
1512493315410	18.57	7998.22	2.72845	7998.4	2.29129	7998	2.70801	7998	2.39792	7997.88	2.04157
1512493316484	18.57	7999.78	2.33333	7999.44	2.10317	7999.46	2.3315	7999.08	2.27156	7998.97	2.33164
1512493317559	18.57	7998.44	2.12786	7998.44	2.04287	7998.23	2.08782	7997.96	2.26348	7998.21	2.13321
1512493318584	18.57	7997.67	1.87083	7998	2.43242	7997.69	2.13638	7997.56	2.31084	7997.79	2.03832
1512493319610	18.57	7996.56	1.66667	7997.04	2.31805	7996.69	2.49615	7996.92	2.23458	7997.94	2.26299
1512493320636	18.57	7997.56	1.424	7997.48	1.55778	7997.46	1.45002	7997.28	1.56844	7998.05	2.34141
1512493321645	18.57	7998.22	1.98606	7998.36	2.23383	7998.08	1.84669	7998.12	2.06801	7998.8	2.10718
1512493322687	18.56	7997.67	2.06155	7998.2	2.12132	7998.08	2.39658	7997.96	1.98914	7999.05	2.43614
1512493323739	18.56	7997.89	1.2693	7999	2	7998.38	1.55662	7998.56	1.70978	7999.61	2.22448
1512493324767	18.59	7999.67	1.80278	7999.88	1.78699	7999.62	1.60927	7999.48	1.78232	7999.87	2.02908
1512493325812	18.59	7998.33	1.5	7998.68	1.90875	7998.62	1.38675	7998.32	1.95192	7998.48	2.18678
1512493326854	18.59	7997.78	2.10819	7998.24	2.14631	7997.92	1.801	7997.96	2.11108	7998.11	1.81357
1512493327935	18.57	7997.33	2.34521	7997.92	2.11975	7997.54	2.06621	7997.64	1.89033	7997.99	1.94719
1512493328982	18.57	7997.22	2.22361	7998.12	2.00666	7997.38	2.02231	7997.6	1.77951	7998.39	1.92038
1512493330094	18.57	7998.78	2.10819	7999.72	2.05183	7998.85	1.90815	7999.24	1.87705	7999.39	2.25932
1512493331120	18.59	7998	1.5	7998.56	1.68523	7998.08	1.49786	7998.04	1.7673	7998.23	1.90936
1512493332162	18.59	7997.89	2.02759	7998.72	2.24574	7998	2.12132	7998.08	2.41385	7998.78	2.37546
1512493333197	18.57	7998.44	2.12786	7999.04	1.59374	7998.69	1.97419	7998.52	2.20076	7998.77	1.98427
1512493334221	18.57	7999.22	1.98606	7999.32	1.8421	7999.15	1.95133	7999.04	1.90351	7999.6	2.44361
1512493335247	18.57	8000.22	3.23179	8000.8	2.51661	8000.38	3.0697	8000.28	2.6064	8000.74	2.71478
1512493336273	18.57	7997.78	1.71594	7998.6	1.68325	7998.08	1.60528	7998.04	1.7195	7999.01	2.23723
1512493337274	18.57	7999.11	1.53659	7999	1.11803	7999.08	1.25576	7998.64	1.55134	7999.08	2.05882
1512493338300	18.57	7997.78	1.64148	7997.88	1.61555	7997.85	1.40512	7997.8	1.70783	7998.33	2.1075
1512493339350	18.59	7997.67	1.32288	7998.28	1.86011	7997.92	1.32045	7997.72	1.88237	7998.07	2.16625
1512493340367	18.59	7997.33	1.32288	7997.76	1.61452	7997.62	1.3253	7997.28	1.72047	7997.48	2.10424
1512493341471	18.57	7999.33	2.23607	7999.28	2.42418	7999.46	1.89804	7999.2	2.32737	7999.13	2.34272
1512493342546	18.57	8001.56	3.12694	8000.48	2.84488	8001.15	2.73393	8000.56	2.73983	7999.23	2.08979
1512493343587	18.59	7997.78	1.48137	7998.04	1.90351	7997.85	1.51911	7997.92	1.93477	7997.77	1.90663
1512493344603	18.57	7997.67	2	7998.08	2.34379	7997.69	1.79743	7997.8	2.25462	7997.68	1.96813
1512493345622	18.59	8000.22	1.30171	7999.68	2.07605	8000	1.47196	7999.68	1.67631	7999.34	2.2743
1512493346746	18.57	7998.78	0.833333	7998.88	1.87794	7998.77	1.30089	7998.6	1.60728	7999.03	2.29789
1512493347760	18.57	8001.11	2.31541	8000.68	2.44472	8000.62	2.29269	8000.24	2.31445	8000.26	2.28565
1512493348812	18.57	7999.67	2.23607	7999.48	2.27523	7999.31	2.17503	7998.96	2.3	7999.01	1.97112
1512493349838	18.59	7999.56	1.87824	7999.56	2.38188	7999.69	2.13638	7999.24	2.14631	7999.36	2.02151
1512493350852	18.57	7998	1.87083	7998	2.14087	7998.08	1.97744	7997.76	1.92094	7998.17	1.97821
1512493351929	18.59	7996.56	2.00693	7997.48	2.58392	7996.85	2.1543	7997.12	2.3331	7997.9	2.10051
1512493352935	18.6	7997.44	2.18581	7998.44	2.95917	7998	2.70801	7998.32	2.83901	7998.42	2.21637
1512493354043	18.59	7997.22	1.71594	7997.24	2.12681	7997.23	1.64083	7997	1.89297	7997.46	2.01551
1512493355114	18.59	7998.33	1.87083	7998.52	1.98158	7998.54	1.85362	7998.48	2.0025	7997.79	2.19102
1512493356208	18.59	7997.56	1.74005	7997.8	1.89297	7997.85	1.57301	7997.68	1.57374	7997.37	1.93229
1512493357282	18.59	7998.78	2.77389	7998.2	2.04124	7998.54	2.36697	7998.08	2.01908	7997.74	2.06852
1512493358310	18.59	7998	2.5	7997.76	1.94251	7998.15	2.23033	7997.56	2.08327	7997.42	2.07038
1512493359412	18.59	7997.11	2.20479	7997.64	2.56385	7997.38	2.36426	7997.24	2.38537	7998.06	2.35546
1512493360534	18.59	7996.78	2.33333	7997.2	2.27303	7997.23	2.20431	7997.16	2.0347	7997.93	2.16143
1512493361573	18.59	7996.89	2.26078	7997.16	2.64071	7997	2.12132	7997.08	2.11975	7997.62	2.2974
1512493362576	18.59	7997.89	2.42097	7998.2	2.34521	7998.15	2.44425	7998.04	2.24499	7998.06	2.26428
1512493363628	18.6	7998.78	1.98606	7998.76	2.40278	7999	2.04124	7998.68	2.15484	7999.13	2.3405
1512493364641	18.59	7999	1.87083	7998.6	2.5	7999.15	2.26738	7998.36	2.2891	7998.44	2.11818
1512493365699	18.6	7999.56	1.74005	7999.24	2.00582	7999.62	1.80455	7999.04	1.81384	7998.55	1.87038
1512493366799	18.61	7998.67	2.06155	7998.68	1.93046	7998.69	1.93152	7998.32	2.09603	7998.45	2.0638
1512493367841	18.6	7998.22	2.33333	7998.44	1.75784	7998.15	2.0755	7998.16	1.95107	7998.61	1.97915
1512493368842	18.6	7998.11	2.14735	7997.92	2.1	7998.15	1.95133	7997.88	1.81016	7998.6	2.58025
1512493369885	18.6	7997.67	2.5	7997.8	2.14087	7997.92	2.326	7997.8	2.02073	7998.01	1.97376
1512493371021	18.62	7997.22	2.68225	7996.92	2.1587	7997.08	2.28989	7996.8	2.14087	7997.11	2.15481
1512493372033	18.62	7996.67	2.54951	7996.36	2.05913	7996.54	2.22169	7996.24	2.04695	7996.44	2.1716
1512493373074	18.62	7997.33	2.34521	7997.64	2.27083	7997.46	2.18386	7997.44	2.14243	7997.64	2.05473
1512493374100	18.61	7998.33	2.39792	7998.56	1.85023	7998.38	2.06311	7998.36	1.93391	7998.73	2.10956
1512493375126	18.61	7997	1.5	7997.64	1.72916	7997.46	1.85362	7997.4	1.60728	7997.99	2.04377
1512493376152	18.62	7999.22	1.85592	7998.96	1.79072	7999.31	1.75046	7998.76	1.83212	7998.73	2.289
1512493377226	18.62	7998.78	2.53859	7998.36	2.03879	7998.46	2.50384	7998.16	2.07525	7998.67	2.20886
1512493378317	18.63	7998.78	2.43812	7998.36	2.05913	7998.54	2.36697	7998.12	2.18556	7997.9	2.15195
1512493379349	18.62	7998.11	1.96497	7997.8	1.80278	7998.31	1.70219	7997.8	1.60728	7997.53	2.08678
