Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512493754740	20.83	7876.33	0.866025	7876.44	1.73397	7876.54	1.19829	7876.16	1.67531	7876.6	2.46483
1512493755780	20.84	7878.11	1.61589	7877.64	1.97653	7878.08	1.75412	7877.32	1.99416	7877.62	2.3647
1512493756816	20.84	7877	0.866025	7877.16	1.62481	7877.46	1.6641	7877.04	1.6452	7877.9	2.46974
1512493757930	20.83	7877.22	0.971825	7877.68	1.65126	7877.77	1.5359	7877.36	1.55134	7878.08	2.36805
1512493759054	20.84	7877.56	0.527046	7877.6	1.38444	7878	1.1547	7877.36	1.43991	7877.77	2.16327
1512493760120	20.84	7878	1.5	7878.56	2.64701	7878.23	1.96443	7877.8	2.44949	7877.75	2.52494
1512493761123	20.85	7876.89	1.16667	7877.76	2.40278	7877.31	1.84321	7877.44	2.23756	7878.31	2.45092
1512493762213	20.85	7877.56	1.74005	7877.88	2.31517	7878	2.38048	7877.68	2.17409	7878.47	2.55573
1512493763302	20.85	7878.67	0.866025	7878.68	2.03552	7879.08	2.06	7878.4	1.89297	7878.89	2.6048
1512493764374	20.85	7878.22	1.09291	7877.84	1.97231	7878.31	2.05688	7877.6	2.02073	7877.89	2.34242
1512493765383	20.86	7876.56	1.50923	7876.76	1.76257	7876.92	1.97744	7876.52	1.75879	7877.39	2.17449
1512493766387	20.85	7879.78	1.56347	7879.4	2.48328	7879.92	2.78273	7879.36	2.48126	7879.14	2.37305
1512493767404	20.86	7880.22	1.09291	7879.76	2.16564	7880.15	2.33973	7879.44	2.16179	7880.21	2.47667
1512493768439	20.85	7880.22	1.48137	7880.48	1.85113	7880.46	1.94145	7879.92	2.1587	7881.09	2.54696
1512493769466	20.85	7880.56	1.424	7880.6	1.68325	7880.54	1.56074	7880.36	2.01825	7881.8	2.78867
1512493770491	20.85	7880.78	1.39443	7881.04	2.26348	7880.77	2.04751	7880.64	2.11896	7881.4	2.67168
1512493771507	20.85	7882	2.06155	7880.88	2.58715	7881.85	2.40992	7880.76	2.45425	7880.91	2.35443
1512493772533	20.85	7881.78	0.833333	7882.28	1.96893	7881.85	2.23033	7881.92	2.11975	7881.96	2.49757
1512493773607	20.86	7882.22	0.971825	7882.92	1.99833	7882.54	1.76141	7882.52	2.12368	7882.69	2.19488
1512493774698	20.85	7882.22	0.971825	7882.56	1.98074	7882.77	1.58923	7882	2	7881.81	2.20237
1512493775772	20.86	7882.89	1.36423	7883.28	2.24574	7883	1.58114	7882.92	2.17792	7883.59	2.38339
1512493776863	20.86	7881.89	1.2693	7882.36	1.86815	7882.23	1.36344	7881.92	1.77764	7882.46	2.41949
1512493777889	20.85	7879.56	1.5899	7880.2	1.82574	7880.08	1.75412	7879.96	1.67033	7880.98	2.37381
1512493778901	20.86	7880.78	1.30171	7881.56	2.43379	7881.54	2.78733	7880.92	2.5645	7881.28	2.35333
1512493780023	20.86	7879.89	1.16667	7880.52	1.8735	7880.38	1.89466	7880.12	1.94336	7880.77	2.25752
1512493781080	20.86	7881.78	1.98606	7882.76	2.38537	7882.08	2.06	7882.16	2.5606	7882.1	2.34424
1512493782106	20.86	7881.78	2.04803	7882.6	1.75594	7882.08	1.93484	7882.08	2.01908	7882.42	2.19749
1512493783131	20.86	7882.33	1.93649	7882.36	1.93391	7882.46	2.40192	7882.16	2.07525	7882.02	2.32172
1512493784157	20.86	7881.33	1.80278	7882.16	2.07525	7881.77	2.45472	7881.76	2.20378	7881.84	2.20952
1512493785229	20.87	7880.67	1.80278	7881.48	2.08407	7881.23	2.42053	7881.16	2.33952	7881.61	2.4045
1512493786256	20.87	7880.44	1.74005	7881.6	2.04124	7880.92	2.326	7881.08	2.30796	7881.69	2.49306
1512493787357	20.87	7881.22	2.3863	7882.16	2.15407	7881.69	2.49615	7881.68	2.41039	7881.93	2.63008
1512493788420	20.86	7880	1.32288	7880.92	1.95619	7880.46	1.8081	7880.64	1.97653	7881.65	2.60612
1512493789513	20.86	7881.78	1.64148	7881.76	2.0672	7881.85	1.62512	7881.36	2.34307	7882.03	2.49256
1512493790572	20.87	7882.22	1.39443	7882.28	1.64621	7882.23	1.5359	7881.92	1.6563	7881.89	2.13687
1512493791613	20.87	7881.22	1.85592	7880.92	1.89121	7881	1.95789	7880.44	1.89473	7880.55	2.33149
1512493792621	20.88	7880	1.93649	7880.32	1.95192	7880.23	1.83275	7879.88	1.76352	7880.4	2.45
1512493793660	20.88	7879.44	1.13039	7880.2	1.80278	7879.62	1.44559	7879.76	1.61452	7880.11	2.33264
1512493794739	20.87	7877.78	1.20185	7878.24	1.98494	7878.23	2.04751	7878.12	1.87794	7878.88	2.49897
1512493795781	20.87	7878.67	1.65831	7879.12	1.94336	7879	1.82574	7878.68	1.74929	7879.37	2.37076
1512493796807	20.87	7878.11	2.08833	7878.92	1.93477	7878.54	1.94145	7878.68	1.99416	7879.46	2.33626
1512493797856	20.87	7879.78	2.04803	7879.72	2.07204	7879.77	1.73944	7879.56	2.14243	7879.77	2.39136
1512493798858	20.88	7879.78	2.3863	7879.6	1.91485	7879.31	2.13638	7879.08	2.08006	7878.76	2.31566
1512493799870	20.88	7877.78	2.22361	7877.92	2.11975	7877.46	2.06621	7877.32	2.05589	7878.18	2.50484
1512493800941	20.89	7877.22	1.64148	7877.8	1.97906	7877.23	1.58923	7877.32	1.86458	7878.32	2.725
1512493801964	20.89	7877.11	1.76383	7877.84	2.39235	7877.23	1.5359	7877.36	2.2891	7878.51	2.53952
1512493803007	20.89	7877.22	1.7873	7878.16	1.97231	7877.54	1.71345	7877.6	1.97906	7878.15	2.50275
1512493804033	20.88	7878.89	1.45297	7879.04	1.7673	7878.85	1.62512	7878.44	1.82757	7878.59	2.3126
1512493805126	20.89	7880	1.93649	7879.36	1.84572	7879.77	2.08782	7879.12	2.04776	7879.76	2.579
1512493806183	20.89	7878.33	1.93649	7878.56	2.04287	7878.31	2.13638	7878.24	2.29637	7878.45	2.38668
1512493807191	20.88	7878.67	2	7878.24	2.27816	7878.46	2.22169	7878.04	2.26348	7878.74	2.53057
1512493808232	20.89	7878.89	1.36423	7878.72	2.18937	7878.92	2.17798	7878.48	2.20076	7879.3	2.3123
1512493809236	20.88	7878.67	1.87083	7879.72	2.03142	7878.92	1.60528	7879.04	1.7673	7879.98	2.34405
1512493810238	20.89	7879.67	1.80278	7879.84	2.09523	7879.69	1.93152	7879.16	2.07525	7879.99	2.35739
1512493811272	20.88	7879.22	1.98606	7879.24	2.14631	7879.15	1.77229	7878.8	2.08167	7879.02	2.40546
1512493812386	20.89	7878.67	2	7879.12	2.42074	7878.77	1.96443	7878.6	2.46644	7878.87	2.45851
1512493813445	20.9	7877.89	2.20479	7878.48	2.63186	7878.31	1.93152	7877.84	2.39235	7877.89	2.48903
1512493814486	20.9	7878.22	1.56347	7878.52	1.8735	7878.38	1.55662	7878	1.82574	7878.13	2.33909
1512493815526	20.89	7877.33	0.707107	7877.6	1.60728	7877.38	1.04391	7877.28	1.30767	7877.76	2.42924
1512493816636	20.9	7877.11	1.69148	7877.76	2.27816	7877.23	1.83275	7877.32	1.90875	7878.01	2.56072
1512493817760	20.9	7877.11	1.36423	7877.52	2.0232	7877.38	1.44559	7877.12	1.87794	7878.04	2.65238
1512493818848	20.9	7875.56	1.94365	7876.2	2.08167	7875.69	1.79743	7875.56	1.85023	7876.13	2.50052
1512493819941	20.9	7874	1.58114	7874.72	2.15097	7874.15	1.57301	7874.08	1.95619	7875.23	2.47694
1512493820967	20.92	7877.33	1.73205	7877.12	2.31517	7877.31	2.05688	7876.6	2.08167	7877.03	2.34173
1512493821992	20.9	7875.33	1.5	7875.04	2.28181	7875.23	1.87767	7874.64	2.09921	7875.1	2.30932
1512493823067	20.9	7877.78	1.56347	7877.16	1.62481	7877.23	1.58923	7876.6	1.75594	7876.6	2.37421
1512493824141	20.92	7874.89	2.14735	7875	2.10159	7874.92	1.801	7874.52	1.93907	7875.69	2.52174
1512493825193	20.92	7876.56	1.23603	7876.2	1.77951	7876.46	1.56074	7875.96	1.79072	7876.79	2.66508
1512493826238	20.92	7875.11	1.36423	7875.76	2.10713	7875.15	1.3445	7875.24	1.78606	7876.42	2.66048
1512493827333	20.92	7878.67	1.93649	7878.2	2.21736	7878.85	2.19265	7877.56	2.50133	7877.48	2.5517
1512493828420	20.92	7875.78	1.39443	7876.08	1.89121	7876.15	1.81871	7875.68	1.74929	7877.04	2.68362
1512493829513	20.92	7874.33	1.93649	7874.92	2.17792	7874.62	1.98068	7874.48	1.96044	7876.05	2.84182
