Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512494686174	25.47	7764.44	0.726483	7764.64	1.43991	7764.46	1.05003	7764.52	1.71075	7764.54	2.18408
1512494687216	25.48	7764	1.73205	7764.6	2.08167	7763.92	1.5525	7764.28	2.38956	7764.98	2.37056
1512494688241	25.49	7766	2.29129	7766	1.91485	7765.77	1.96443	7766.08	2.13931	7766.15	2.52893
1512494689267	25.49	7765.44	1.81046	7765.72	1.72047	7765.38	1.50214	7765.72	2.15097	7765.56	2.46374
1512494690293	25.5	7763.89	1.76383	7763.88	1.96469	7763.62	1.55662	7763.96	1.83666	7764.17	2.37686
1512494691324	25.5	7762.44	1.87824	7762.24	1.92094	7762.31	1.60128	7762.36	1.55134	7763.39	2.6397
1512494692344	25.49	7763.33	1.87083	7764.2	2.14087	7763.46	1.76141	7764	2.44949	7764.67	2.60652
1512494693353	25.5	7765.67	2.39792	7765	2.02073	7765.15	2.23033	7764.96	2.16949	7764.72	2.32662
1512494694377	25.5	7763.44	1.94365	7763.96	2.16949	7763.46	1.98391	7763.96	2.13073	7764.73	2.64619
1512494695421	25.51	7762.89	1.2693	7763.12	2.06801	7763	1.63299	7763.32	1.79629	7763.68	2.47496
1512494696471	25.51	7762.33	1.41421	7762.72	1.86011	7762.38	1.44559	7762.68	1.93046	7762.97	2.59789
1512494697585	25.51	7764.22	2.04803	7764.28	2.11187	7763.92	1.84669	7764.04	2.31805	7763.72	2.41619
1512494698719	25.51	7762.89	1.76383	7763.92	2.23458	7763.38	2.06311	7763.92	2.08006	7764.98	2.81173
1512494699737	25.51	7765.11	2.20479	7765.28	1.96893	7764.85	2.0755	7765.16	2.2301	7765.38	2.61966
1512494700763	25.51	7765.44	1.13039	7765.6	1.58114	7765.15	1.14354	7765.64	1.72916	7765.6	2.61255
1512494701814	25.51	7765.67	1.22474	7765.92	1.55242	7765.31	1.25064	7765.96	1.45717	7766.71	2.20292
1512494702832	25.52	7767.33	1.5	7767.76	1.73877	7767.31	1.31559	7767.8	1.60728	7767.6	2.26876
1512494703835	25.52	7766.67	1.32288	7766.24	1.50776	7766.46	1.45002	7766.64	1.25433	7766.66	2.45067
1512494704880	25.53	7764.33	1.80278	7765.16	1.74833	7764.46	1.56074	7765.04	1.85921	7765.88	2.47173
1512494705954	25.54	7764.44	2.45515	7764.8	2.16025	7764.38	2.18092	7764.8	2.19848	7764.82	2.25464
1512494707045	25.54	7765.33	1.80278	7765.36	1.91224	7765.15	1.57301	7765.28	1.83757	7765.21	2.40257
